Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Mobile Dev for Well-Known IT Services Provider,Development,"$50,000 to $199,999",None,"WillowTree's team of two designers, a developer, a QA tester, a PM and an intern took a prototype and built a native iOS app to solve reporting issues the client was facing internally.",None,"Sr. Director Enterprise Applications, IT Company ",Consumer Electronics,1001 - 5000 Employees,"San Francisco, California",
Android/iOS Development for Online Marketplace ,Development,"$200,000 to $999,999",None,"WillowTree provided UI/UX design for the mobile web and app development for iOS and Android.On an ongoing and regular basis, WillowTree is brought in to enhance the appsand design.",None,"Director of Engineering, Online Marketplace",Internet,11-50 Employees,"Atlanta, Georgia",
Development of Customer-Facing Website for Nonprofit,UI/UX Design,"$200,000 to $999,999",None,"WillowTree created a custom customer-facing responsive website, for desktops and mobile devices. They designed the look and feel andarticulated a value proposition to end-customers.",Donna Tally,"Director, NeighborWorks America",Nonprofit,501 - 1001 Employees,"Washington, DC",
Financial Services App Development for Credit Union,Development,Confidential,None,WillowTree supported the move from an out-of-the-box platform to a Xamarin-built solution accessible on iOS and Android. They lead the frontend design while the client focused on the backend.,None,"Program Manager, Credit Union",Financial Services,201 - 500 Employees,"Chicago, Illinois",
App Design and UX Strategy for Financial Services Firm,Development,"$50,000 to $199,999",None,WillowTree delivered native roadmaps for both iOS and Android. The app will be completed in-house but WillowTree lead the charge on performing customer research and designing the UX.,Junie Kim,"Digital Lead, Synchrony Financial",Financial Services,"5001-10,000 Employees","Stamford, Connecticut",
iOS Application for Large Energy Solutions Provider,Development,"$200,000 to $999,999",None,WillowTree developed and designed an iOSapp that is programmed to run on Macs in kiosk-like mode. The app acts like a giant tablet for customers at fueling stations.,None,"Engineering Director, Energy Solutions Company",Energy,501 - 1001 Employees,"Austin, Texas",
App Development for Large Hotel Chain,Mobile App Development,"$200,000 to $999,999",None,"Over the 6 month partnership, WillowTree delivered both a native iOS and Android app for this global chain.",None,"Senior Manager, Hotel Chain",Hospitality,1001 - 5000 Employees,"New York, New York",
iOS and Android App Dev for Restaurant Reservations,Mobile App Development,"$200,000 to $999,999",Aug. 2017 - Apr. 2018,"Raizlabs transformed iOS and Android app prototypes into final products. Based on maps, they integratedfeatures like in-app purchases, developed locationintegrations, and created a social network component.",Robert Welch,"Co-Founder, Spinz, LLC",Advertising and Marketing ,1-10 Employees,"Bakersfield, CA",
Dev of Real-Time Mobile Fundraising & Activity Tracking App,Mobile App Development,"$200,000 to $999,999",May 2017 - Mar. 2018,Raizlabs currently works on the design and development of an app that will turn the tracked activity of a sport into money for funding cancer research. Theyre also in charge of the backend and website.,Wes Sims,"Head of Product, Pulll (by Pelotonia)",Nonprofit,11-50 Employees,"Columbus, Ohio",
App Design & Implementation for Insurance Company,Mobile App Development,"$200,000 to $999,999",Apr. 2017 - Mar. 2018,"Raizlabs redesigned and rebuilt a mobile app used by millions of customers. Their goals were to create a more efficient system, improve user satisfaction, and maximize channel conversions.",None,"Mobile Product Manager, Fortune 100 Insurance Carrier",Financial Services,"10,001+ Employees",United States,
Mobile App Dev for Global Retailer,Mobile App Development,Confidential,Apr. 2014 - Aug. 2015,Raizlabs developed a native iOS and Android app for large-scale retail customer use. They also assisted with finding keywords and launching both apps to the App Store and Google Play.,None,"Mobile Manager, Global Retailer",Retail,"10,000+ Employees","Seattle, Washington",
Mobile App Dev for Real Estate Marketing Platform,Mobile App Development,Confidential,June 2015 - Oct. 2016,"Raizlabs created an iOS mobile app to assist realtors, building extensive features for lead management, database access, and action items. Other tasks included product strategy, launch support, and web work.",Frederick Townes,"Co-Founder, Placester, Inc.",Internet,51-200 Employees,"Boston, Massachusetts",
App Development for Large Theme Park,Development,"$200,000 to $999,999",None,"Raizlabs built a new mobile app for both the Android and iOS platforms. The app was completed on schedule, and Raizlabs will likely be involved with future maintenance and updates.",None,"Director of Digital Innovation, Large Theme Park",Entertainment,"10,001 + Employees",USA,
App Development Consulting for Mobile Acceleration Company,IT Consulting & SI,"$50,000 to $199,999",July 2014 - Ongoing,"Raizlabs provided experienced guidance and feedback, as well as a vehicle for testing the clients SDK approach. The partnership has resulted in two completed projects and their relationship is ongoing.",Sean Welch,"President, Kwicr",Information Technology and Services,11-50 Employees,"Boston, MA",
Technology Platform Development for User Experience Testing,UI/UX Design,Confidential,None,"Raizlabs helped to develop an on-device software solution for recording consumer tests, aimed at improving flexibility and user experience. This collaborative partnership is ongoing.",Michael Mace,"VP of Mobile, UserTesting",Information Technology and Services,201-500 Employees,"San Francisco, CA",
Application Development for Caretaker Matchmaking Site,Development,"$50,000 to $199,999",None,"Raizlabs built an app that integrated existing APIs, to help the client adopt a mobile-first strategy for interacting with customers. The project was successfully completed within the initial timeline.",Joe Cuccinelli,"Former VP of Product, Care.com",Hospital & Healthcare,501-1000 employees,"Waltham, Massachusetts",
Fortune 500 Technology Firm Mobile Application,Mobile App Development,"$10,000 to $49,999",None,Raizlabs created a mobile whiteboard tool with an embedded follow-up through email. The project consisted of a building phase and an update phase.,None,"Product Marketing Manager, Fortune 500 Technology Company",Technology,"10,000 + Employees",Boston Metro Area,
Landing Page Development for Split Agency Web Project,Development,"$50,000 to $199,999",Nov. 2017 - Ongoing,"Dom & Tom developed a landing page for a booking system for a third party client, working on a CMS, implementation and configuration, analytics, and email notifications. ",Jennifer Kim,"Account Manager, OLIVER Agency",Advertising,501-1000 Employees,"New York, New York",
Custom Developed Productivity App for Management Consultancy,Mobile App Development,Confidential,Nov. 2015 - Ongoing,"Dom & Tom helped determine the specs, ultimate goals, and wireframes of an iOS app. They then helped develop the app and integrate several APIs, including reservation and beacon technology.",None,Concierge & Site Services Manager,Management Consulting,"10,000+ Employees","Boston, Massachusetts ",
Product & Website Dev for Management Consulting Firm,Web Development,"$50,000 to $199,999",Feb. 2015 - Mar. 2016,"Dom & Tom was subcontracted to build aB2C productbased off a B2B diagnostic tool. A corresponding website wasalso developed for marketing purposes, which remains the primary focus.",None,"Director of Marketing, Consulting Firm",Management Consulting,51-200 Employees,"New York, New York",
Flagship Product Enhancement for Marketing & Advertising Firm,Custom Software Development,"$50,000 to $199,999",Oct. 2015 - Ongoing,"Dom & Tom inherited and then redeveloped a flagship project management tool, which was detailed in the original review. The engagement now involves ongoing product enhancementand bug fixes.",None,"Owner, Dynamic Resources, Inc.",Marketing & Advertising,51-200 Employees,"New York, New York",
Overflow Dev for Digital Agency,Web Development,"$10,000 to $49,999",Oct. 2016 - Jan. 2017,"Dom & Tom's engineers helped the internal dev team cope with project overflow, in this case supporting only the technical aspects of a website redesign. ",None,Project Manager,Marketing & Advertising,11-50 Employees,"New York, New York",
Business Conceptualization & Prototyping for Entrepreneur,Mobile App Development,"$10,000 to $49,999",Jan. 2014 - May 2014,This brief engagement involved conceptual design and strategic advisory for an inexperienced entrepreneurlaunching a new business.,None,Independent Consultant,Marketing & Advertising,1-10 Employees,"San Francisco, California ",
Redesigned Construction Management Solution for Trade Association,Development,"$200,000 to $999,999",Dec. 2015 - Ongoing,Dom & Tom redesigned aweb-based application to serve as a project tracking plaform and searchable data feed.They later created a mobile application for iOS.,None,Director of Operations,Nonprofit, Construction,"10,001+ Employees","Washington, DC"
iOS and Android Prototype Development for Consumer App Startup,Mobile App Development,"$200,000 to $999,999",May 2015 - Ongoing,Dom & Tom developed a mobile peer-to-peer messaging application for the iOS and Android platforms.,None,"Founder & CEO, Startup",Consumer Products,1-10 Employees,New York City Metro Area,
