Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
Mobile App Dev for Real Estate Marketing Platform,Mobile App Development,Confidential,June 2015 - Oct. 2016,"Raizlabs created an iOS mobile app to assist realtors, building extensive features for lead management, database access, and action items. Other tasks included product strategy, launch support, and web work.",Frederick Townes,"Co-Founder, Placester, Inc.",Internet,51-200 Employees,"Boston, Massachusetts"
App Development for Large Theme Park,Development,"$200,000 to $999,999",None,"Raizlabs built a new mobile app for both the Android and iOS platforms. The app was completed on schedule, and Raizlabs will likely be involved with future maintenance and updates.",None,"Director of Digital Innovation, Large Theme Park",Entertainment,"10,001 + Employees",USA
App Development Consulting for Mobile Acceleration Company,IT Consulting & SI,"$50,000 to $199,999",July 2014 - Ongoing,"Raizlabs provided experienced guidance and feedback, as well as a vehicle for testing the clients SDK approach. The partnership has resulted in two completed projects and their relationship is ongoing.",Sean Welch,"President, Kwicr",Information Technology and Services,11-50 Employees,"Boston, MA"
Technology Platform Development for User Experience Testing,UI/UX Design,Confidential,None,"Raizlabs helped to develop an on-device software solution for recording consumer tests, aimed at improving flexibility and user experience. This collaborative partnership is ongoing.",Michael Mace,"VP of Mobile, UserTesting",Information Technology and Services,201-500 Employees,"San Francisco, CA"
Application Development for Caretaker Matchmaking Site,Development,"$50,000 to $199,999",None,"Raizlabs built an app that integrated existing APIs, to help the client adopt a mobile-first strategy for interacting with customers. The project was successfully completed within the initial timeline.",Joe Cuccinelli,"Former VP of Product, Care.com",Hospital & Healthcare,501-1000 employees,"Waltham, Massachusetts"
Fortune 500 Technology Firm Mobile Application,Mobile App Development,"$10,000 to $49,999",None,Raizlabs created a mobile whiteboard tool with an embedded follow-up through email. The project consisted of a building phase and an update phase.,None,"Product Marketing Manager, Fortune 500 Technology Company",Technology,"10,000 + Employees",Boston Metro Area
Native Mobile App Dev for Life Insurance Company,Mobile App Development,"$200,000 to $999,999",May - Dec. 2017,"Intellectsoft built native iOS and Android apps from scratch. They integrated backend systems and third-party partners, including user authentication and payment processing. More features are in the works.",Henrik Andersson,"IT Project Manager, Euro Accident",Insurance,51-200 Employees,"Stockholm, Sweden"
Customer Communication Platform Dev for Startup,Custom Software Development,"$10,000 to $49,999",May 2016 - Dec. 2017,Intellectsoft developed and launched a complex customer service platform with third-party integrations. They also provided QA testing and maintenance.,Pavel Pavlenko,"Co-Founder & COO, HelpCrunch",Computer Software ,11-50 Employees,"Palo Alto, California"
Web App Dev for Construction Project & Risk Management Tool,Custom Software Development,Confidential,Dec. 2006 - Ongoing,"With few software solutions for construction business owners and project managers on the market, Intellectsoft developed a risk management app to sequence projects and establish future governance processes.",None,"Senior Manager, Consulting Firm",Construction,11-50 Employees,"New York, New York"
e-Commerce Gamification Development for Platform,Development,"$200,000 to $999,999",None,Intellectsoftdeveloped an e-commerce app and the backend infrastructure to support it. The app integrates the client's blockchain into a Chinese e-commerce shopping network.,None,"Program Manager, Holding Company",Financial Services,11-50 Employees,Hong Kong
Backend Development for Geolocation Mobile App,Mobile App Development,"$200,000 to $999,999",Aug. 2016 - Feb. 2017,Intellectsoft built a cached MongoDB database to provide a high-performance backend system for a mobile platform. The database provides support for an increased amount of platform traffic and users.,None,"CEO & Co-Founder, Geolocation Platform",IT Services,11-50 Employees,San Francisco Bay Area
App Development Resources for Puzzle Game,Design,"$10,000 to $49,999",2016,"Though not involved with development, Intellectsoft provided 2D artwork for many fantastical characters included in a mobile game.",Tim Lonnqvist,"Lead Designer, Small Giant Games",Gaming,1-10 Employees,"Helsinki, Finland"
Mobile Implementation for Online SEO Tool,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Feb. 2017,Intellectsoft delivered a mobile implementation of the client's online SEOtool. They moved an extensive set of functionality from a web interface to a mobile app with a user-friendly interface.,Julia Karnaukh,"Head of Marketing, SE Ranking",Marketing ,11-50 Employees,"Palo Alto, California"
Multi-Media Application Development for Startup,Development,"$50,000 to $199,999",None,"This partnership consisted of two projects. First, Intellectsoft delivered a camera app which syncs tablets to DSLR cameras. Secondly, they integrated systems between two of the client's suppliers.",Juan Emilio Yanes,"Founder, Ztadium Studios",Information Technology ,110 Employees,"Santo Domingo, Dominican Republic"
Application MVP for Money Transfer Services Company,Development,"$200,000 to $999,999",None,"Based off of a set of requirements and designs, Intellectsoft leadthe development of the backend of this platform in order to assist the client in delivering a minimum viable product.",None,"CEO, Financial Services Company",Financial Services,1-10 Employees,"San Francisco, California"
Web Application for Project Management Consulting Firm,Development,"$200,000 to $999,999",None,"Intellectsoft developed a web application, provided Amazon Web Services support andgathered UX feedback to modernize this once Excel-based process.",None,"Senior Manager, Management Consulting Firm",Business Services,1-10 Employees,"New York, New York"
Dev Staff Partnership for Cybersecurity Firm,Development,"$200,000 to $999,999",Nov. 2016  Ongoing ,"ELEKS offers development services for a cybersecurity company where they work on cloud-based systems. Developers work on the front- and backend using Node.js, MongoDB, and Angular. They also offer QA and UI.",Eran Alsheh,"CTO, CyberProof",Computer & Network Security,"10,000+ Employees",Israel
Big Data Dev for B2B Platform,BI & Analytics,"$1,000,000 - $9,999,999",Oct. 2017 - Ongoing,"ELEKS assists with staff augmentation on an ongoing basis, generally providing data science experts and developers on an as-needed basis. Theyve helped with a variety of tasks related to data aggregation.",None,"CEO, B2B Supply Chain Firm",IT Services,11-50 Employees,Germany
QA Testing for Software Company,Application Testing,Confidential,Jan. 2016 - Ongoing,"Using TestLink, ELEKS performs manual and ad hoc QA testing for desktop and cloud-based products. They'realso managing the automation of manual tests.",None,"Director of Desktop Engineering, Software Firm",Computer Software,201-500 Employees,Ireland
Team Augmentation for Automotive Tech Firm,Custom Software Development,"$200,000 to $999,999",Mar. 2004 - Ongoing,"Elekswas hired to supply dev resources during periods of increased demand. The success of their involvement has led to an exclusive, ongoing staffing arrangement.",None,Senior Manager,Computer Software,5001-10000 Employees,"Portland, Oregon"
Long-Term Staffing Engagement for Reinsurance Firm,Custom Software Development,Confidential,Mar. 2001 - Ongoing,Eleks was first hired to support SQL database efforts and their performance then led to further dev and design. The engagement remains ongoing.,None,Managing Director of Product Development & Applied Research,Insurance,1001-5000 Employees,Greater Minneapolis-St. Paul Area
Enterprise App Development for Financial Services Firm,Custom Software Development,Confidential,None,ELEKS was brought on board sixteen years ago to add cost-efficient resources to the development team. There are between 7 to 50 developers working on any project.,None,"Principal Analyst, Financial Software Provider",Financial Services,501-1000 Employees,Boston Metro Area
Ongoing Development and Consulting for Mobile Software Firm,Custom Software Development,Confidential,2001 - Ongoing,ELEKS provides overflow mobile application development support for third party clients during high demand periods.,None,"President, IT Firm",IT Services,1-10 Employees,"Charlotte, North Carolina"
.NET Development for Financial Tech Firm,Custom Software Development,"$200,000 to $999,999",2011 - Ongoing,ELEKS initially served as an emergency resource for overflow development work during peak periods. The team now focuses on building a product suite of MVC web apps using Microsoft .NET.,None,"Head of Development, Financial Technology Firm",IT Services,51-200 Employees,"London, United Kingdom"
Integrated QA Team for Aviation Software Firm,Application Testing,Confidential,2013 - Ongoing,ELEKS conducts manual and automated quality assurance testing to maintain software quality. They also write technical documentation for a user manual and online help section.,None,"Head of QA & Support, Mint Media Interactive Software Systems",IT Services,1-10 Employees,"Kiel, Germany"
